Sample,Glucose,L-Lactic acid,Oxoglutaric acid,Glycine,L-Glutamine,L-Serine,L-Alanine,L-Glutamic acid
B04R_T60,0.72,0.46,0.1,0.02,0.01,0.13,0.35,0.07
B04R_T120,0.59,0.48,0.14,0.05,0.02,0.17,0.41,0.08
B04R_T180,0.58,0.48,0.17,0.07,0.01,0.18,0.43,0.09
B04R_T240,0.59,0.49,0.18,0.08,0.01,0.19,0.45,0.11
B05L_T0,0.98,0.29,-0.01,-0.01,0,-0.01,0,-0.01
B05L_T60,0.75,0.29,0.03,0,0,0.06,0.15,0.03
B05L_T120,0.64,0.47,0.07,0.05,0.01,0.14,0.38,0.05
B05L_T180,0.58,0.49,0.1,0.08,0.01,0.18,0.43,0.06
B05L_T240,0.56,0.48,0.13,0.09,0.01,0.19,0.44,0.08
B05R_T0,0.99,0.49,-0.01,-0.01,0,-0.01,0.07,-0.01
B05R_T60,0.78,0.51,0.1,0.03,0.01,0.13,0.43,0.06
B05R_T120,0.7,0.55,0.12,0.06,0.03,0.16,0.48,0.09
B05R_T180,0.69,0.56,0.14,0.07,0.02,0.17,0.52,0.1
B05R_T240,0.71,0.57,0.15,0.08,0.02,0.17,0.54,0.11
B06L_T0,0.99,0.27,-0.01,-0.01,0,-0.01,0.02,-0.01
B06L_T60,0.9,0.4,0.04,0,0,0.07,0.31,0.01
B06L_T120,0.84,0.51,0.07,0.02,0,0.11,0.44,0.05
B06L_T180,0.8,0.56,0.09,0.03,0,0.12,0.5,0.07
B06L_T240,0.79,0.59,0.11,0.05,0,0.13,0.56,0.09
B06R_T0,0.99,0.3,-0.01,-0.01,0,-0.02,0.06,-0.01
B06R_T60,0.76,0.45,0.08,0.02,0,0.11,0.35,0.05
B06R_T120,0.67,0.49,0.11,0.05,0.01,0.14,0.39,0.08
B06R_T180,0.65,0.53,0.16,0.07,0.01,0.17,0.47,0.12
B06R_T240,0.68,0.54,0.2,0.09,0.01,0.18,0.5,0.14
X02L_T0,0.004539843,0.239956844,0.284281097,0.503386579,0.90784439,0.628326684,0.64614652,0.705862148
X02L_T60,0.102663257,0.385664304,0.128254087,0.949736102,0.953922149,0.465574974,0.379726479,0.831692961
X02L_T120,0.060561286,0.174306792,0.538148349,0.765738531,0.100041669,0.001060395,0.457884974,0.685334595
X02L_T180,0.062808102,0.042224461,0.430012158,0.705536475,0.629780133,0.56159442,0.06396524,0.838453703
X02L_T240,0.061886839,0.29633393,0.858504867,0.693206616,0.274874592,0.761843052,0.201322653,0.074952069
X02R_T0,0.014538863,0.508445156,0.157274249,0.726255033,0.223308883,0.577536218,0.772156299,0.782404122
X02R_T60,0.049126714,0.464669545,0.004869955,0.749120134,0.319563457,0.130377626,0.080423046,0.089620461
X02R_T120,0.054595514,0.300523115,0.968612372,0.337644995,0.267641427,0.57684731,0.012455488,0.728145871
X02R_T180,0.122304917,0.146284292,0.627479852,0.740896733,0.475275808,0.366550169,0.509382208,0.110915326
X02R_T240,0.053149391,0.238580076,0.875048907,0.592984967,0.975918858,0.088394325,0.14577095,0.471862903
X03L_T0,0.003560896,0.201931397,0.06206005,0.158331254,0.930129332,0.360568754,0.983170674,0.447451561
X03L_T60,0.247524805,0.494536672,0.867858731,0.060880371,0.493692652,0.068228175,0.368963078,0.447079779
X03L_T120,0.218447534,0.171460647,0.79787291,0.302469756,0.247878177,0.356178673,0.017533041,0.279725496
X03L_T180,0.000134001,0.331839027,0.511842841,0.694627528,0.169715968,0.703764132,0.350109288,0.452478542
X03L_T240,0.166656811,0.534012526,0.103871223,0.345687675,0.834304878,0.711969177,0.393940742,0.165400612
X03R_T0,0.000301783,0.163883621,0.64205569,0.221882907,0.236379506,0.562332882,0.20481457,0.207250632
X03R_T60,0.006371385,0.567183515,0.042753775,0.652013513,0.984744821,0.590987866,0.189820204,0.941392737
X03R_T120,0.362393316,0.354822833,0.356743186,0.774614427,0.787208808,0.143990753,0.157855668,0.907654449
X03R_T180,0.28127472,0.144149442,0.332597978,0.831738192,0.19106187,0.173371033,0.568758464,0.615913225
X03R_T240,0.207305081,0.128517101,0.811183256,0.611733015,0.491268417,0.273020029,0.146832776,0.220755528
X04L_T0,0.016546953,0.611047179,0.351853206,0.233871412,0.855909132,0.832703259,0.07806293,0.985930146
X04L_T60,0.118066342,0.105888066,0.088493176,0.416716724,0.869797994,0.022468303,0.625779417,0.830516734
X04L_T120,0.317945418,0.371513941,0.230227674,0.492847295,0.65938846,0.009140399,0.319975987,0.649482499
X04L_T180,0.080450378,0.390133676,0.016509745,0.11883428,0.041334404,0.304670563,0.186718091,0.696456007
X04L_T240,0.273593342,0.273929747,0.137435745,0.438790947,0.624023526,0.742343543,0.067180758,0.63384518
X04R_T0,0.011013308,0.497808,0.266069635,0.06535021,0.260572142,0.799919336,0.867836589,0.590360979
X04R_T60,0.037033818,0.416345961,0.12590104,0.731542198,0.853083707,0.82853504,0.639130093,0.465836404
X04R_T120,0.004034138,0.283508137,0.815810304,0.720562284,0.841918598,0.722002265,0.543334018,0.129288917
X04R_T180,0.34772491,0.162341258,0.512874147,0.640545492,0.941293477,0.587014791,0.257025261,0.352628865
X04R_T240,0.020277118,0.051174718,0.44582999,0.169824991,0.739958377,0.481622824,0.523508537,0.840289656
X05L_T0,0.016522663,0.020775684,0.907013687,0.862841283,0.497319164,0.207006527,0.07385069,0.609369367
X05L_T60,0.133226036,0.47718884,0.636341302,0.251887634,0.245392732,0.415814772,0.085277507,0.046394488
X05L_T120,0.205018323,0.119988987,0.788980244,0.93788458,0.220414375,0.055922448,0.324966493,0.053552686
X05L_T180,0.345395232,0.355920215,0.354298333,0.036168996,0.252022772,0.217387225,0.320841418,0.544214891
X05L_T240,0.075770375,0.43940143,0.657697438,0.096511679,0.797396719,0.612140583,0.149564702,0.78238603
X05R_T0,0.007022289,0.393958686,0.372278706,0.700242601,0.70225484,0.30009447,0.141262852,0.705687148
X05R_T60,0.182849681,0.019123225,0.441485097,0.473276535,0.811619223,0.010901743,0.563323611,0.068954497
X05R_T120,0.143751429,0.150587382,0.850598215,0.377338898,0.92242466,0.402726875,0.369908377,0.178066679
X05R_T180,0.137172857,0.304383942,0.45422299,0.375225861,0.118090122,0.325289033,0.256047373,0.350882473
X05R_T240,0.085282714,0.261792336,0.80953757,0.266496089,0.237623034,0.60793496,0.2707175,0.841576147
X06L_T0,0.0060202,0.06301963,0.484108437,0.161846069,0.812834614,0.991346584,0.043370421,0.567081947
X06L_T60,0.032523342,0.428383153,0.260027531,0.85991086,0.364604938,0.012054215,0.333551636,0.45537386
X06L_T120,0.044402029,0.298376398,0.217089421,0.600121782,0.558334575,0.329021521,0.437274795,0.797272822
X06L_T180,0.196280417,0.025582119,0.208305201,0.711933622,0.069409963,0.65325676,0.243844272,0.909414397
X06L_T240,0.192960191,0.034469181,0.507881562,0.418635838,0.169019265,0.755573253,0.305811814,0.616023634
X06R_T0,0.007446292,0.261682268,0.264120065,0.333732251,0.565014692,0.304245777,0.764372606,0.797332572
X06R_T60,0.187057353,0.190223506,0.035175241,0.350344004,0.318062007,0.86383774,0.555458523,0.002741576
X06R_T120,0.326114845,0.363705304,0.234724668,0.012650902,0.292146914,0.380358673,0.018870557,0.116930873
X06R_T180,0.343615643,0.446353507,0.569013631,0.671553037,0.585510062,0.715170273,0.39935208,0.718626951
X06R_T240,0.199859411,0.366701882,0.424476206,0.115871708,0.839212003,0.60480968,0.25901635,0.675003171
